url,domain,category,barrier,topical_authority,source_of_label
udayton.edu,udayton.edu,Academia,High,third-party,llm_agreement
ufrgs.br,ufrgs.br,Academia,High,third-party,llm_agreement
uia.org,uia.org,Non-media-industry,Mid,third-party,llm_agreement
uk.com,uk.com,Non-media-industry,Mid,third-party,llm_agreement
umass.edu,umass.edu,Academia,High,third-party,llm_agreement
umd.edu,umd.edu,Academia,High,third-party,llm_agreement
umemurasatoshi.com,umemurasatoshi.com,Owned,Low,third-party,llm_agreement
americaninsanity.org,americaninsanity.org,Owned,Low,third-party,llm_agreement
americanmanufacturing.org,americanmanufacturing.org,Non-media-industry,Mid,third-party,llm_agreement
americanoversight.org,americanoversight.org,Non-media-industry,Mid,third-party,llm_agreement
americanprogress.org,americanprogress.org,Non-media-industry,Mid,third-party,llm_agreement
americanprogressaction.org,americanprogressaction.org,Non-media-industry,Mid,third-party,llm_agreement
americansforprosperity.org,americansforprosperity.org,Non-media-industry,Mid,third-party,llm_agreement
americasvoice.org,americasvoice.org,Non-media-industry,Mid,third-party,llm_agreement
ntia.gov,ntia.gov,Government,High,third-party,llm_agreement
ntu.org,ntu.org,,Mid,third-party,human
ntv.co.jp,ntv.co.jp,Media,Mid,third-party,llm_agreement
nuclearabolitionjpn.com,nuclearabolitionjpn.com,Non-media-industry,Mid,third-party,llm_agreement
nymag.com,nymag.com,Media,Mid,third-party,llm_agreement
nytimes.com,nytimes.com,Media,Mid,third-party,llm_agreement
o-ishin.jp,o-ishin.jp,Party,Primary,primary,llm_agreement
spotlightpa.org,spotlightpa.org,Media,Mid,third-party,llm_agreement
springer.com,springer.com,Academia,High,third-party,llm_agreement
ssa.gov,ssa.gov,Government,High,third-party,llm_agreement
ssri-j.com,ssri-j.com,,Mid,third-party,human
st-aug.edu,st-aug.edu,Academia,High,third-party,llm_agreement
stanford.edu,stanford.edu,Academia,High,third-party,llm_agreement
startribune.com,startribune.com,Media,Mid,third-party,llm_agreement
npca.org,npca.org,Non-media-industry,Mid,third-party,llm_agreement
npi.or.jp,npi.or.jp,,Mid,third-party,human
npr.org,npr.org,Media,Mid,third-party,llm_agreement
nrb.org,nrb.org,Non-media-industry,Mid,third-party,llm_agreement
nrc.co.jp,nrc.co.jp,Non-media-industry,Mid,third-party,llm_agreement
nri.com,nri.com,Non-media-industry,Mid,third-party,llm_agreement
nta.go.jp,nta.go.jp,Government,High,third-party,llm_agreement
kingsoft.jp,kingsoft.jp,Non-media-industry,Mid,third-party,llm_agreement
kinokuniya.co.jp,kinokuniya.co.jp,Non-media-industry,Mid,third-party,llm_agreement
kinyobi.co.jp,kinyobi.co.jp,Media,Mid,third-party,llm_agreement
kkpartners.jp,kkpartners.jp,Non-media-industry,Mid,third-party,llm_agreement
kobayashi-takayuki.jp,kobayashi-takayuki.jp,Owned,Low,third-party,llm_agreement
kobe-np.co.jp,kobe-np.co.jp,Media,Mid,third-party,llm_agreement
kobe-u.ac.jp,kobe-u.ac.jp,Academia,High,third-party,llm_agreement
cadem.org,cadem.org,Party,Primary,primary,llm_agreement
cagop.org,cagop.org,Party,Primary,primary,llm_agreement
cagreens.org,cagreens.org,Party,Primary,primary,llm_agreement
calgarychamber.com,calgarychamber.com,Non-media-industry,Mid,third-party,llm_agreement
californiapolicycenter.org,californiapolicycenter.org,Non-media-industry,Mid,third-party,llm_agreement
calmatters.org,calmatters.org,Media,Mid,third-party,llm_agreement
cambridge.org,cambridge.org,Academia,High,third-party,llm_agreement
uazensen.jp,uazensen.jp,Non-media-industry,Mid,third-party,llm_agreement
ubyssey.ca,ubyssey.ca,Media,Mid,third-party,llm_agreement
uchicago.edu,uchicago.edu,Academia,High,third-party,llm_agreement
ucigcc.org,ucigcc.org,Academia,High,third-party,llm_agreement
ucla.edu,ucla.edu,Academia,High,third-party,llm_agreement
ucrp.org,ucrp.org,Party,Primary,primary,llm_agreement
ucsb.edu,ucsb.edu,Academia,High,third-party,llm_agreement
epiaction.org,epiaction.org,Non-media-industry,Mid,third-party,llm_agreement
equalitynow.org,equalitynow.org,Non-media-industry,Mid,third-party,llm_agreement
equalopportunitytoday.com,equalopportunitytoday.com,Media,Mid,third-party,llm_agreement
erininthemorning.com,erininthemorning.com,Owned,Low,third-party,llm_agreement
esdcenter.jp,esdcenter.jp,Academia,High,third-party,llm_agreement
espritdecorps.ca,espritdecorps.ca,,Mid,third-party,human
eu-japan.eu,eu-japan.eu,,Mid,third-party,human
europa.eu,europa.eu,Government,High,third-party,llm_agreement
europeangreens.eu,europeangreens.eu,Party,Primary,primary,llm_agreement
ev-charge-enechange.jp,ev-charge-enechange.jp,Non-media-industry,Mid,third-party,llm_agreement
evelyn.com,evelyn.com,,Mid,third-party,human
evergreenaction.com,evergreenaction.com,Non-media-industry,Mid,third-party,llm_agreement
everythingpolicy.org,everythingpolicy.org,Non-media-industry,Mid,third-party,llm_agreement
excite.co.jp,excite.co.jp,,Mid,third-party,human
un.org,un.org,Government,High,third-party,llm_agreement
unc.edu,unc.edu,Academia,High,third-party,llm_agreement
undp.org,undp.org,Government,High,third-party,llm_agreement
unfccc.int,unfccc.int,Government,High,third-party,llm_agreement
unfoundation.org,unfoundation.org,Non-media-industry,Mid,third-party,llm_agreement
ungcjn.org,ungcjn.org,Non-media-industry,Mid,third-party,llm_agreement
unic.or.jp,unic.or.jp,Government,High,third-party,llm_agreement
constitutionpartypa.com,constitutionpartypa.com,Party,Primary,primary,llm_agreement
constitutionpartywa.com,constitutionpartywa.com,Party,Primary,primary,llm_agreement
constructiondive.com,constructiondive.com,Media,Mid,third-party,llm_agreement
conter.scot,conter.scot,Media,Mid,third-party,llm_agreement
